Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
7/2/2020,17,ppb,16,24,100
7/3/2020,11.9,ppb,10,24,100
7/4/2020,10.4,ppb,9,24,100
7/5/2020,5.5,ppb,5,19,79
7/6/2020,17.3,ppb,16,24,100
7/7/2020,13.2,ppb,12,24,100
7/8/2020,20.7,ppb,19,24,100
7/9/2020,28.6,ppb,26,24,100
7/10/2020,18.8,ppb,17,24,100
7/11/2020,14.5,ppb,13,24,100
7/12/2020,9.8,ppb,8,19,79
7/13/2020,21,ppb,20,24,100
7/14/2020,17.7,ppb,16,24,100
7/15/2020,8.9,ppb,8,24,100
7/16/2020,17.2,ppb,16,24,100
7/17/2020,12.8,ppb,11,24,100
7/18/2020,9,ppb,8,24,100
7/19/2020,5.5,ppb,5,19,79
7/20/2020,12.7,ppb,11,24,100
7/21/2020,13.1,ppb,12,24,100
7/22/2020,13.6,ppb,12,24,100
7/23/2020,13.2,ppb,12,21,88
7/24/2020,12.9,ppb,11,24,100
7/25/2020,5.6,ppb,5,24,100
7/26/2020,5.5,ppb,5,19,79
7/27/2020,10.9,ppb,9,24,100
7/28/2020,14.1,ppb,13,24,100
7/29/2020,19,ppb,18,24,100
7/30/2020,22,ppb,21,24,100
7/31/2020,9.3,ppb,8,24,100
8/1/2020,9.9,ppb,8,24,100
8/2/2020,5.9,ppb,5,20,83
8/3/2020,15.5,ppb,14,24,100
8/4/2020,20,ppb,19,24,100
8/5/2020,23.6,ppb,22,24,100
8/6/2020,21.3,ppb,20,24,100
8/7/2020,28,ppb,26,24,100
8/8/2020,11.2,ppb,10,24,100
8/9/2020,7.9,ppb,7,20,83
8/11/2020,23.7,ppb,22,24,100
8/12/2020,21.9,ppb,20,24,100
8/13/2020,24.5,ppb,23,24,100
8/14/2020,20.1,ppb,19,24,100
8/15/2020,11.7,ppb,10,24,100
8/16/2020,5.6,ppb,5,20,83
