Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
7/7/2017,11,ppb,10,24,100
7/8/2017,11,ppb,10,24,100
7/9/2017,9,ppb,8,22,92
7/10/2017,12,ppb,11,24,100
7/11/2017,5,ppb,5,24,100
7/12/2017,9,ppb,8,24,100
7/13/2017,14,ppb,13,24,100
7/14/2017,5,ppb,5,24,100
7/15/2017,7,ppb,7,24,100
7/16/2017,8,ppb,8,22,92
7/17/2017,16,ppb,15,24,100
7/18/2017,16,ppb,15,24,100
7/20/2017,16,ppb,15,22,92
7/21/2017,19,ppb,18,24,100
7/22/2017,20,ppb,19,24,100
7/23/2017,7,ppb,7,22,92
7/24/2017,10,ppb,9,22,92
7/25/2017,5,ppb,5,24,100
7/26/2017,18,ppb,17,24,100
7/27/2017,24,ppb,23,24,100
7/28/2017,16,ppb,15,24,100
7/29/2017,6,ppb,6,24,100
7/30/2017,9,ppb,8,22,92
7/31/2017,13,ppb,12,24,100
8/1/2017,9,ppb,8,24,100
8/2/2017,7,ppb,7,20,83
8/3/2017,13,ppb,12,19,79
8/4/2017,16,ppb,15,24,100
8/5/2017,7,ppb,7,24,100
8/6/2017,8,ppb,8,22,92
8/8/2017,4,ppb,4,24,100
8/9/2017,10,ppb,9,24,100
8/10/2017,15,ppb,14,24,100
8/11/2017,12,ppb,11,24,100
8/12/2017,11,ppb,10,24,100
8/13/2017,6,ppb,6,22,92
8/14/2017,3,ppb,3,24,100
8/15/2017,6,ppb,6,24,100
8/16/2017,13,ppb,12,24,100
8/17/2017,18,ppb,17,24,100
8/18/2017,16,ppb,15,24,100
8/19/2017,15,ppb,14,24,100
8/20/2017,9,ppb,8,22,92
8/21/2017,22,ppb,21,24,100
8/22/2017,23,ppb,22,24,100
8/23/2017,14,ppb,13,24,100
8/24/2017,10,ppb,9,24,100
8/25/2017,26,ppb,25,24,100
8/26/2017,19,ppb,18,24,100
8/27/2017,9,ppb,8,22,92
8/28/2017,13,ppb,12,24,100
8/29/2017,14,ppb,13,24,100
8/30/2017,19,ppb,18,22,92
8/31/2017,19,ppb,18,24,100
9/1/2017,37,ppb,35,24,100
9/2/2017,18,ppb,17,24,100
9/3/2017,19,ppb,18,22,92
