Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,,,Month,Year
24-Mar-24,New Mexico,Roswell,40 block of E Byrne St,1,0,0,0,1,,,3,2024
24-Mar-24,New Mexico,Albuquerque,Volcano Rd NW and 98th St NW,1,0,0,0,1,,,3,2024
23-Mar-24,New Mexico,Rio Rancho,Acapulco Rd and Honduras Rd NE,1,0,0,0,1,,,3,2024
23-Mar-24,New Mexico,Albuquerque,2808 Central Ave SE,0,1,0,0,1,,,3,2024
21-Mar-24,New Mexico,Albuquerque,Candelaria Rd NW and Rio Grande Blvd NW,0,0,0,1,1,,,3,2024
19-Mar-24,New Mexico,Albuquerque,Betts Dr NE and Mesa Arriba Ave NE,0,0,1,0,0,,,3,2024
17-Mar-24,New Mexico,Albuquerque,N/A,0,0,0,0,0,,,3,2024
15-Mar-24,New Mexico,Tucumcari,I-40 and CR AY,1,0,0,1,1,,,3,2024
13-Mar-24,New Mexico,Albuquerque,10000 block of 2nd St NW,0,0,1,0,0,,,3,2024
13-Mar-24,New Mexico,Albuquerque,237 Pennsylvania St NE,2,0,0,0,1,,,3,2024
12-Mar-24,New Mexico,Albuquerque,N/A,0,0,0,0,1,,,3,2024
11-Mar-24,New Mexico,Tucumcari,5 Mile Park Rd,1,0,0,0,1,,,3,2024
10-Mar-24,New Mexico,Albuquerque,1015 Valencia Dr SE,1,0,0,0,2,,,3,2024
10-Mar-24,New Mexico,Santa Fe,2400 block of Vereda De Encanto,0,1,1,1,1,,,3,2024
9-Mar-24,New Mexico,Espanola,500 block of Middle San Pedro Rd,0,0,1,0,0,,,3,2024
8-Mar-24,New Mexico,Albuquerque,11600 Academy Rd NE,0,0,1,0,0,,,3,2024
5-Mar-24,New Mexico,Las Vegas,500 block of 6th St,0,0,0,0,0,,,3,2024
4-Mar-24,New Mexico,Albuquerque,112 Indiana St SE,1,1,0,0,2,,,3,2024
